"id","name","image"
"1","Harvey's","harveys.png"
"2","Canada Post","canadapost.png"
"3","Sell off Vacations","selloffvacations.png"
"4","Starbucks","starbbucks.png"
"5","Pizza Hut","pizzahut.png"
"7","Bank of Montreal","BMO.png"
"8","CIBC","cibc.png"
"9","VisualSonic Inc.","VisualSonic.png"
"10","Royal Lepage","royallepage.png"
"11","NCO Financial Services","nco.png"
"13","Jack Astors","Jackastors.png"
"14","South St. Burger Co","SouthStBurger.png"
"15","Dairy Queen","dairyqueen.png"
"16","Gamma Dynacare","gammadyncare.png"
"17","CML Healthcare Inc.","cmlhealthcare.png"
"18","Pet Valu","petvalu.png"
"19","Subway","subway.png"
"20","Congee Queen","congeequeen.png"
"21","Shoppers Drug Mart","shoppers.png"
"22","Wendy's","wendys.png"
"23","Freshco.","freshco.png"
"24","LCBO","lcbo.png"
"25","Scotiabank","scotiabank.png"
"26","Royal Bank of Canada","rbc.png"
"27","Metro","Metro.png"
"28","Canadian Tire","canadiantire.png"
"29","Dollarama","dollarama.png"
"30","Fit4Less","fitforlife.png"
"31","Factory Direct","factorydirect.png"
"32","Fortino's","fortinos.png"
"33","Rexall","rexall.png"
"34","TD Canada Trust","td.png"
"35","Home Hardware","homehardware.png"
"36","The Beer Store","beerstore.png"
"38","Second Cup","secondcup.png"
"39","HSBC","hsbc.png"
"40","Banque Nationale du Canada","baquedunational.png"
"41","Kelsey's","kelsey's.png"
"42","Chapters","chapters.png"
"43","Five Guys Burger","fiveguys.png"
"44","Sobeys","sobeys.png"
"46","Tim Hortons","timhortons.png"
"47","Bulk Barn","bulkbarn.png"
"49","GoodLife Fitness","goodlifefitness.png"
"50","Mark's Work Wearhouse","marks.png"
"52","Bestco Fresh Foodmart","bestco.png"
"53","Food Basics","foodbasics.png"
"54","Cineplex Odeon","cineplex.png"
"55","JYSK","jysk.png"
"56","Home Depot","homedepot.png"
"57","Loblaws","Loblaws.png"
"58","Reitmans","reitmans.png"
"60","Rogers","rogers.png"
"61","Shoppers Home Health Care","shoppershomehealthcare.png"
"62","Real Canadian Superstore (Loblaws)","realcanadiansuperstore.png"
"63","Sport Chek","sportchek.png"
"64","Staples","staples.png"
"65","Winners","winners.png"
"68","Pier 1 Imports","pier1imports.png"
"69","PetSmart","petsmart.png"
"70","Party City","partycity.png"
"71","Swiss Chalet","swisschalet.png"
"72","Moxie's","moxie's.png"
"73","A&W","A_W.png"
"75","Petro Canada","petrocanada.png"
"76","Anytime Fitness","anytimefitness.png"
"77","Remark Farms","remark.png"
"79","Booster Juice","boosterjuice.png"
"80","Linen Chest","linenchest.png"
"81","Against the Grain","againstthegrain.png"
"82","Mucho Burrito","muchoburrito.png"
"83","Aroma","aroma.png"
"84","Dollar Tree","dollartree.png"
"85","KFC","KFC.png"
"86","Ryerson University","ryerson.png"
"87","Part Source (Canadian Tire)","partsource.png"
"89","Toys 'R' Us","toysRus.png"
"91","Rona","rona.png"
"92","Coffee Time","coffeetime.png"
"93","LA Fitness","lafitness.png"
"94","Child Venture","childventures.png"
"95","RBC Insurance","rbc.png"
"96","Sunnyside Grill","sunnysidegrill.png"
"97","First Capital Realty Inc.","FCR.png"
"98","EQ3","eq3.png"
"99","West Elm","westelm.png"
"101","Taco Bell","tacobell.png"
"102","Eggsmart","eggsmart.png"
"106","Spartan Fitness","spartanfitness.png"
"107","H&R Block","H_Rblock.png"
"108","Alexanian Carpet & Flooring","alexanian.png"
"109","Equinox Fitness","equinox.png"
"110","TNT","T_Tsupermarket.png"
"111","Andrews","andrews.png"
"112","Diesel","Diesel.png"
"113","Anthropologie","Anthropologie.png"
"116","Safeway","Safeway.png"
"118","Super Drug Mart",NULL
"120","7-Eleven","7-Eleven.png"
"121","King's Pub & Eatery",NULL
"122","ATB Financial","ATBFinancial.png"
"123","Canada Alberta Service Centre (CASC)","CASC.png"
"124","Insight Medical",NULL
"125","London Drugs","londondrugs.png"
"126","Oasis Wellness","oasis.png"
"127","The Metropolitan Grill","themetropolitangrill.png"
"128","Future Shop","futureshop.png"
"129","Sport Mart","sportmart.png"
"130","Boston Pizza","bostonpizza.png"
"131","Home Outfitters","homeoutfitters.png"
"134","Gold's Gym","goldsgym.png"
"135","Brewsters","brewsters.png"
"136","The Source","thesource.png"
"137","HomeSense","homesense.png"
"138","Mercato Culinaria Inc.",NULL
"139","Bank of Nova Scotia","Scotiabank.png"
"140","Penninsula Runners","peninsularunners.png"
"141","Coast Capital Savings","coastcapital.png"
"142","Passeros Restaurant",NULL
"143","Landmark Theatres","LandmarkTheatre.png"
"145","Vancity","Vancity.png"
"146","Western Foods","westernfoods.png"
"149","Saanich Dental","saanichdental.png"
"150","Chatwin Associates",NULL
"151","Thrifty Foods","thriftfoods.png"
"155","IGA MarketPlace","igamarketplace.png"
"156","Thrifty's Liquor Store",NULL
"157","Island Savings","IslandSavings.png"
"158","Serious Coffee",NULL
"161","Rousseau Sports","RousseauSports.png"
"162","Pharmacie Jean Coutu","PharmacieJeanCoutu.png"
"163","Desjardins","Desjardins.png"
"165","Familiprix","familiprix.png"
"166","SAQ","SAQ.png"
"168","Fruiterie 440","Fruiterie440.png"
"169","Jean Coutu","JeanCoutu.png"
"170","Pharmaprix","Pharmaprix.png"
"171","Quiznos","quiznos.png"
"172","Banque Royale du Canada","rbc.png"
"173","Rossy","rossy.png"
"174","Uniprix","uniprix.png"
"175","Brunet","Brunet.png"
"178","Value Village","valuevillage.png"
"179","IGA Extra (Sobeys)","IGAExtra.png"
"180","Hart",NULL
"181","Best Buy","bestbuy.png"
"182","Sears","sears.png"
"183","Videotron","videotron.png"
"184","Caisse Populaire Desjardins","DesjardinsCaissePopulaire.png"
"185","Zellers","zellers.png"
"186","Bouclair Maison","BouclairMaison.png"
"187","Herbal Magic","herbalmagic.png"
"188","Citifinancial","Citifinancial.png"
"189","Reno Depot","renodepot.png"
"190","Target","target.png"
"191","Nautilus Plus","nautilus.png"
"193","Sherwin Williams","sherwinwilliamslogo.png"
"195","Lazy Boy Furniture","lazyboy.png"
"196","Couche Tard","couchetard.png"
"198","Ben & Florentine","6.png"
"204","Medscan","medscan.png"
"206","Kings Medical Arts Pharmacy",NULL
"207","CAA","CAA.png"
"208","Magicuts","magicuts.png"
"209","Top Queen Nails",NULL
"212","Jackson Landing Group",NULL
"213","Oxford Learning Centre","oxfordlearning.png"
"214","Canadian Martial Arts",NULL
"215","Mackay's Animal Hospital","mackaysanimalhospital.png"
"216","Global Pet Foods","globalpetfoods.png"
"217","M & M Meat Shops","mmmeats.png"
"218","St. Louis Bar & Grill","StLouis.png"
"219","First Choice Hair Cutters","firstchoicehaircutters.png"
"220","Wild Wing","wildwing.png"
"221","Sylvan Learning Centre","sylvan.png"
"223","Walmart","walmart.png"
"224","Dollar Store with More","dollarstorewithmore.png"
"225","Sunlife Financial","sunlife.png"
"226","Shoeless Joes","shoelessjoes.png"
"227","No Frills","nofrills.png"
"228","Nelson Animal Hospital","nelsonsanimalhospital.png"
"229","State Farm Insurance","StateFarm.png"
"230","Wincare Pharmacy",NULL
"231","Pets N Groom","petsngroom.png"
"232","Life Chiropractic Centre","LifeChiropracticCentre.png"
"233","Beacon Hill Dental Office","BeaconHill.png"
"234","Soft Touch Beauty Bar","softtouch.png"
"235","Healthy Planet","healthyplanet.png"
"236","EB Games","ebgames.png"
"237","Listen Up Canada","listenupcanada.png"
"238","Scarborough Centre of Healthy Communities","ScarboroughCentreofHealthyCommunities.png"
"239","Chartwell Veterinary Clinic","ChartwellVeterinary.png"
"240","Pizza Pizza","pizzapizza.png"
"243","The Keg Steakhouse & Bar","thekeg.png"
"244","Pharma Plus","pharmaplus.png"
"245","Tommy Hilfigure","TommyHilfiger.png"
"246","Beer Store","beerstore.png"
"247","BMO","BMO.png"
"249","Orange Theory Fitness","orangetheoryfitness.png"
"250","Cora","cora.png"
"251","Pizza Nova","pizzanova.png"
"253","The Shoeper Store","theShoeperstore.png"
"254","Nandos","Nandos.png"
"255","Smile Factory","smilefactory.png"
"256","Mountain Equipment Co-op","mountainequipmentcoop.png"
"257","Co-Operators","Cooperators.png"
"258","Pita Pit","pitapit.png"
"259","Heads Held High Nail Shop Beauty Bar","HeadsHeldHigh.png"
"260","Longo's","longos.png"
"261","Local Public Eatery","localpubliceatery.png"
"263","Domino's Pizza","dominos.png"
"264","Vet Clinic",NULL
"266","BSW Beauty","bsw.png"
"267","Whole Foods Market","wholefoodsmarket.png"
"268","Harpers Landing","haperslanding.png"
"269","Kids & Co. Daycare",NULL
"270","Zen Bar Spa","zenbar.png"
"271","Bgood","bgood.png"
"273","Penningtons","penningtons.png"
"274","Black Creek Community Health Care","BCCHC.png"
"276","Monkey See Monkey Do",NULL
"277","Nice One Nails","niceonenails.png"
"278","The Running Room","therunningroom.png"
"279","Barcelona Tavern","barcelonaTavern.png"
"280","Freshii","freshii.png"
"281","Mildred's Temple Kitchen","MildredsTempleKitchen.png"
"282","GNC","GNC.png"
"283","Meridian Credit Union","meridian.png"
"284","King West Veterinarian Clinic",NULL
"285","Green Cleaners",NULL
"286","Pearle Vision","PearleVision.png"
"287","Smoke's Poutinerie","smokespoutinere.png"
"288","City Marketplace","citymarket.png"
"289","Sleep Country Canada","sleepcountry.png"
"290","Balzac's Coffee","BalzacsCoffee.png"
"291","William's Landing","williamslanding.png"
"292","Nutrition House","nutritionhouse.png"
"293","Dental House Liberty Village","libertydental.png"
"294","Structube","structube.png"
"295","Fuzion Convienience",NULL
"296","Glace Nail Bar",NULL
"297","Urban Dog",NULL
"298","Zehrs","zehrsmarkets.png"
"299","Burger King","BurgerKing.png"
"300","All State Insurance","AllStateInsurance.png"
"301","Little Caesars","LittleCaesars.png"
"302","Supercuts","supercuts.png"
"303","EJ Optical Limited",NULL
"304","Massage Addict","massageaddicts.png"
"305","Carlson Wagonlit Travel","carsonwagonlit.png"
"306","Plastic Moulders Ltd.",NULL
"307","Queensway Rotisserie & Grill","QueenswayRotisserieGrill.png"
"308","Mercedes-Benz Canada Inc.","mercedes.png"
"310","Bad Boy Superstore","BadBoySuperstore.png"
"311","Talize","talize.png"
"312","McDonald's","mcdonalds.png"
"313","Passport Office",NULL
"314","Hush Lash Studio","hushlashstudio.png"
"315","Montanas Cookhouse & Bar","montana's.png"
"316","Life Labs LP","lifelabs.png"
"317","London Health Sciences Centre","LondonHealthSciencesCentre.png"
"318","London Regional Cancer Program",NULL
"319","Ontario Nurses' Association","ontarionursesassociation.png"
"320","Claimspro Inc.","claimspro.png"
"321","National Sports","nationalsports.png"
"322","Via Cibo","viacibo.png"
"323","Uptown Spa","uptowngold.png"
"324","Windfields","Windfields.png"
"325","California Sandwiches","CaliforniaSandwiches.png"
"326","Soul Cycle","soulcycle.png"
"327","TNT BLU/TNT GALLERIE/TNT WOMAN","tnt.png"
"328","Chanel","chanel.png"
"329","Sunglass Hut","SunglassHut.png"
"330","Fabricland","fabricland.png"
"331","Dollar Giant","DollarGiant.png"
"332","Dunn's",NULL
"336","T&T Supermarket","T_Tsupermarket.png"
"337","Repolot",NULL
"338","Pusateri's Fine Foods","PusaterisFineFoods.png"
"339","Over the Rainbow","overtherainbow.png"
"340","Chez Cora","ChezCora.png"
"341","New Look","newlook.png"
"342","La Source","lasource.png"
"343","CSSS",NULL
"344","CMI","cmi.png"
"345","Provigo","provigo.png"
"347","Ameublement Desroches","Ameublement Desroches.png"
"348","Proxim","proxim.png"
"349","IGA","iga.png"
"350","Sports Experts","sportsexpert.png"
"351","Super C","superc.png"
"352","Group Yellow",NULL
"353","Banque Laurentienne","BanqueLaurentienne.png"
"354","Kenso Sushi Bar","kensosushi.png"
"355","Cambodiana Restaurrante",NULL
"356","Tonedbodies gym",NULL
"357","Jenny Craig","jennycraig.png"
"359","Rotisserie Grill Bed",NULL
"360","Ville de Montreal","VilledeMontreal.png"
"361","Play it again Sports","playitagainsports.png"
"362","Mikes",NULL
"363","Muscle Up Canada","Muscleupcanada.png"
"365","Adonis/ Metro","adonis.png"
"366","DAA",NULL
"367","Zibo","zibo.png"
"368","COCO Loco","cocoloco.png"
"369","Business depot","businessdepot.png"
"370","Urban Planet","UrbanPlanet.png"
"371","Dollarmax",NULL
"372","FGL Sports","fglsports.png"
"373","Barbies","barbies.png"
"376","Laurentian Bank","LaurentianBank.png"
"377","Benjamin Moore","BenjaminMoore.png"
"378","Energie Cardio","EnergieCardio.png"
"379","St. Hubert","sthubert.png"
"381","Clinique Medicale",NULL
"382","Plexo","plexo.png"
"383","Salon de Quille","SalondeQuille.png"
"384","Librairie Renaud Bray","LibrairieRenaudBray.png"
"385","Comminication Jeuness",NULL
"386","Maxi","maxi.png"
"387","Aubenerie","Aubenerie.png"
"388","Cinema Lido","cinemalido.png"
"389","SAAQ","SAAQ.png"
"390","Boule O drome",NULL
"391","Destination Dollar","destinationdollar.png"
"392","Dormez vous","dormezvous.png"
"393","CLSC","clsc.png"
"394","Rubino","rubino.png"
"395","Electrotel",NULL
"396","Marshalls","marshalls.png"
"397","Michaels","michaels.png"
"398","Econofitness","econofitness.png"
"399","Buffets des continents","Buffetsdescontinents.png"
"400","Stitches","Stitches.png"
"401","Cyclepath","cyclepath.png"
"402","Scholars Choice","scholarschoice.png"
"403","Asian Buffet","asianbuffet.png"
"405","Calgary Co-op","CalgaryCoop.png"
"406","The Italian Centre Shop","theitaliancentreshop.png"
"407","Liquor Depot","liquordepot.png"
"408","Bright Path Kids","brightpathkids.png"
"411","Pet Planet","petplanet.png"
"412","Good Earth","goodearth.png"
"413","Beer Revolution","BeerRevolution.png"
"414","Cobs Bread","cobsbread.png"
"415","Browns Socialhouse","brownssocial.png"
"416","Parc Brasserie","ParcBrasserie.png"
"417","Kit and Ace","kitandace.png"
"419","Sotheby's International Realty Office","SothebysInternationalRealtyOffice.png"
"420","Save On Foods","saveonfoods.png"
"421","Spa Lady","spalady.png"
"422","Mercato","MERCATO.png"
"423","Kal Tire","kaltire.png"
"424","Red Robin","redrobin.png"
"425","Alberta Health Services","albertahealthservies.png"
"426","MEC","mec.png"
"427","Western Cellars",NULL
"428","Buddy Wonton","buddywonton.png"
"429","IHOP","ihop.png"
"430","Mattress Mattress","matressmatress.png"
"431","Ricky's All Day Grill","RickysalldayGrill.png"
"432","The Chopped Leaf","thechoppedleaf.png"
"434","Petland","petland.png"
"435","Polar Park Brewing Company","polarparkbrewingco.png"
"436","Coastal Credit Union",NULL
"437","Kins Farm Market","kinsfarmmarket.png"
"438","Bin 4 Burger Lounge","bin4burger.png"
"439","Earl's","earls.png"
"440","Chuck E. Cheese","chuckecheese.png"
"441","Army & Navy","armynavy.png"
"442","BC Liquor","BCLiquor.png"
"443","White Spot","whitespot.png"
"444","Infinite Training","Infinite_training.png"
